gsno,lid,lat,lon,elev
13022500,ALPW4,43.1961111111,110.889444444,5684.0
12166185,EIAW1,48.26665,121.8875,215.0
13342340,SWCI1,46.271944,116.852222,2002.0
13296000,YFSI1,44.278889,114.733889,5950.0
13132515,INLI1,43.495833,113.071944,5045.0
13132520,BLOI1,43.515833,113.081111,5000.0
14165500,MRGO3,44.113056,123.046944,400.0
14211814,FAIO3,45.5278,122.4475,310.0
14211400,GREO3,45.486667,122.420556,333.0
14219800,SYCW1,46.004722,122.343333,520.0
14209250,OGRO3,45.079722,122.042778,1420.0
13132513,INEI1,43.513889,113.083333,5000.0
13119000,LLHI1,43.8861111111,113.1,5020.0
13313000,JOHI1,44.962222,115.499444,4656.0
13337500,SFCI1,45.824722,115.876667,3816.0
12395000,PRTI1,48.21667,116.91667,2090.0
12115500,REXW1,47.35,121.666667,1600.0
12101100,LTDW1,47.233333,122.233333,60.0
12138160,SLTW1,47.9075,121.814167,290.0
12025100,CRWW1,46.66111,122.98278,105.0
12419000,PTFI1,47.7031,116.978,2050.0
14159110,CMRO3,44.16639,122.25583,1160.0
12096505,PMNW1,47.196944,122.249722,40.0
12020525,ELCW1,46.634722,123.295556,370.0
12506000,TOPW1,46.311111,120.786944,1313.0
12166300,SNFW1,48.2725,121.888055556,215.0
12188380,SUIW1,48.301944,121.416944,753.0
12187500,SKDW1,48.261667,121.593889,525.0
12214500,SUMW1,48.9778,122.2542,40.0
13217500,BEUO3,43.907778,118.152222,3261.0
13068500,BLFI1,43.130556,112.476389,4420.0
12446995,SADW1,48.4053,119.6206,1478.0
13340600,CRSI1,46.83333,115.61667,1660.0
12101470,PFSW1,47.198889,122.286111,30.0
14155500,DORO3,43.79306,122.99028,800.0
14020850,PDUO3,45.67167,118.73556,1130.0
10392500,SRTO3,43.9227777778,118.958333333,4529.0
13275180,DRMO3,44.7466666667,118.106111111,1500.0
14247295,WAUO3,46.16,123.405,1.0
14139800,SBRO3,45.45,122.1,990.0
12334510,RCCM8,46.7225,113.68222,3519.0
14208700,OGCO3,45.113889,121.813889,3042.0
12092000,ELEW1,46.9,122.033333,1640.0
14200100,DCSO3,44.9769444444,122.83,180.0
13175100,OMCN2,41.86056,115.98833,5560.0
12395500,ATGW1,48.18,117.03,2035.0
